,,0000999,,,＊＊　未コード化傷病名　＊＊
,,8848176,,,１１β－水酸化酵素欠損症
,,8848177,,,１７α－水酸化酵素欠損症
,,8849692,,,１７β－ヒドロキシステロイド脱水素酵素欠損症
,,8848178,,,１８－水酸化酵素欠損症
,,8848425,,,１８ｑ欠失症候群
,,7582002,,,１８常染色体異常
,,8848426,,,１ｐ３６欠失症候群
,,8849233,,,１ｑ部分重複症候群
,,8850601,,,１型２色覚
,,8850602,,,１型３色覚
,,8849055,,,１型呼吸不全
,,8850603,,,１型色覚
,,8848310,,,１型自己免疫性膵炎
,,2500014,,,１型糖尿病
,,8841685,,,１型糖尿病・関節合併症あり
,,8841682,,,１型糖尿病・眼合併症あり
,,8841680,,,１型糖尿病・ケトアシドーシス合併あり
,,8841679,,,１型糖尿病・昏睡合併あり
,,8841683,,,１型糖尿病・神経学的合併症あり
,,8841681,,,１型糖尿病・腎合併症あり
,,8841687,,,１型糖尿病・多発糖尿病性合併症あり
,,8841686,,,１型糖尿病・糖尿病性合併症あり
,,8841688,,,１型糖尿病・糖尿病性合併症なし
,,8841684,,,１型糖尿病・末梢循環合併症あり
,,8845043,,,１型糖尿病黄斑症
,,8830029,,,１型糖尿病合併妊娠
,,8845044,,,１型糖尿病性アシドーシス
,,8845045,,,１型糖尿病性アセトン血症
,,8845842,,,１型糖尿病性胃腸症
,,8843105,,,１型糖尿病性壊疽
,,8843982,,,１型糖尿病性黄斑浮腫
,,8845046,,,１型糖尿病性潰瘍
,,8845047,,,１型糖尿病性肝障害
,,8845048,,,１型糖尿病性関節症
,,8845049,,,１型糖尿病性眼筋麻痺
,,8845050,,,１型糖尿病性筋萎縮症
,,8845051,,,１型糖尿病性血管障害
,,8849056,,,１型糖尿病性ケトーシス
,,8830028,,,１型糖尿病性ケトアシドーシス
,,8849557,,,１型糖尿病性高血糖高浸透圧症候群
,,8845052,,,１型糖尿病性高コレステロール血症
,,8845053,,,１型糖尿病性虹彩炎
,,8845054,,,１型糖尿病性骨症
,,8830030,,,１型糖尿病性昏睡
,,8845055,,,１型糖尿病性神経因性膀胱
,,8845056,,,１型糖尿病性神経痛
,,8845057,,,１型糖尿病性自律神経ニューロパチー
,,8845058,,,１型糖尿病性腎硬化症
,,8830031,,,１型糖尿病性腎症
,,8843983,,,１型糖尿病性腎症第１期
,,8843984,,,１型糖尿病性腎症第２期
,,8843985,,,１型糖尿病性腎症第３期
,,8843986,,,１型糖尿病性腎症第３期Ａ
,,8843987,,,１型糖尿病性腎症第３期Ｂ
,,8843988,,,１型糖尿病性腎症第４期
,,8843989,,,１型糖尿病性腎症第５期
,,8845059,,,１型糖尿病性腎不全
,,8844626,,,１型糖尿病性水疱
,,8845060,,,１型糖尿病性精神障害
,,8845061,,,１型糖尿病性そう痒症
,,8845062,,,１型糖尿病性多発ニューロパチー
,,8845063,,,１型糖尿病性単ニューロパチー
,,8845064,,,１型糖尿病性中心性網膜症
,,8845065,,,１型糖尿病性低血糖性昏睡
,,8845066,,,１型糖尿病性動脈硬化症
,,8845067,,,１型糖尿病性動脈閉塞症
,,8830032,,,１型糖尿病性ニューロパチー
,,8844346,,,１型糖尿病性白内障
,,8845068,,,１型糖尿病性皮膚障害
,,8844627,,,１型糖尿病性浮腫性硬化症
,,8845069,,,１型糖尿病性末梢血管症
,,8845070,,,１型糖尿病性末梢血管障害
,,8845071,,,１型糖尿病性末梢神経障害
,,8830033,,,１型糖尿病性網膜症
,,8838517,,,１型尿細管性アシドーシス
,,8830034,,,Ｉ型溶血性非球状赤血球性貧血
,,8830035,,,Ｉ群ハンセン病
,,8847269,,,１系統に異形成を伴う不応性血球減少症
,,8850604,,,１色覚
,,8830036,,,１秒率低下
,,8830037,,,１秒量低下
,,8848311,,,２１－水酸化酵素欠損症
,,8846236,,,２２ｑ１１．２欠失症候群
,,8850605,,,２型２色覚
,,8850606,,,２型３色覚
,,8849057,,,２型呼吸不全
,,8849693,,,２型コラーゲン異常症関連疾患
,,8850607,,,２型色覚
,,8848312,,,２型自己免疫性膵炎
,,2500015,,,２型糖尿病
,,8841695,,,２型糖尿病・関節合併症あり
,,8841692,,,２型糖尿病・眼合併症あり
,,8841690,,,２型糖尿病・ケトアシドーシス合併あり
