,,610406079,,ガスター散２％,,,,,ｇ
,,610406193,,テンマ末,,,,,ｇ
,,610406227,,花扇加工ブシ末Ｋ,,,,,ｇ
,,610406231,,バリトゲンＨＤ　９８．６％,,,,,ｇ
,,610406232,,バリトップＨＤ　９９％,,,,,ｇ
,,610406378,,ＭＳコンチン錠６０ｍｇ,,,,,錠
,,610406382,,オステラック錠１００　１００ｍｇ,,,,,錠
,,610406383,,オステラック錠２００　２００ｍｇ,,,,,錠
,,610406385,,セロシオンカプセル１０　１０ｍｇ,,,,,カプセル
,,610406386,,ゾビラックス顆粒４０％,,,,,ｇ
,,610406387,,ハイペン錠１００ｍｇ,,,,,錠
,,610406388,,ハイペン錠２００ｍｇ,,,,,錠
,,610406389,,プロマック顆粒１５％,,,,,ｇ
,,610406390,,ベイスン錠０．２　０．２ｍｇ,,,,,錠
,,610406391,,ベイスン錠０．３　０．３ｍｇ,,,,,錠
,,610406392,,ペルマックス錠５０μｇ,,,,,錠
,,610406393,,ペルマックス錠２５０μｇ,,,,,錠
,,610406394,,メタライト２５０カプセル　２５０ｍｇ,,,,,カプセル
,,610406398,,ピメノールカプセル５０ｍｇ,,,,,カプセル
,,610406399,,ピメノールカプセル１００ｍｇ,,,,,カプセル
,,610406401,,アレギサール錠５ｍｇ,,,,,錠
,,610406402,,インフリーＳカプセル２００ｍｇ,,,,,カプセル
,,610406406,,ペミラストン錠５ｍｇ,,,,,錠
,,610406407,,ユニコン錠２００　２００ｍｇ,,,,,錠
,,610406408,,ユニコン錠４００　４００ｍｇ,,,,,錠
,,610407001,,アイピーディカプセル５０　５０ｍｇ,,,,,カプセル
,,610407002,,アイピーディカプセル１００　１００ｍｇ,,,,,カプセル
,,610407003,,スプレンジール錠２．５ｍｇ,,,,,錠
,,610407004,,スプレンジール錠５ｍｇ,,,,,錠
,,610407005,,デタントールＲ錠３ｍｇ,,,,,錠
,,610407006,,デタントールＲ錠６ｍｇ,,,,,錠
,,610407019,,カルバン錠２５　２５ｍｇ,,,,,錠
,,610407020,,カルバン錠５０　５０ｍｇ,,,,,錠
,,610407021,,カルバン錠１００　１００ｍｇ,,,,,錠
,,610407022,,フェアストン錠４０　４０ｍｇ,,,,,錠
,,610407025,,エンシュア・Ｈ,,,,,ｍＬ
,,610407028,,ベザトールＳＲ錠１００ｍｇ,,,,,錠
,,610407112,,本草加工ブシ末,,,,,ｇ
,,610407122,,メチルテストステロン錠　１０ｍｇ,,,,,錠
,,610407139,,カイトリル錠１ｍｇ,,,,,錠
,,610407140,,ガナトン錠５０ｍｇ,,,,,錠
,,610407141,,グラケーカプセル１５ｍｇ,,,,,カプセル
,,610407147,,アテレック錠５　５ｍｇ,,,,,錠
,,610407148,,アテレック錠１０　１０ｍｇ,,,,,錠
,,610407158,,バレオン錠２００ｍｇ,,,,,錠
,,610407332,,トチモトのトチュウ,,,,,ｇ
,,610407333,,トチモトのバクガ（麦芽）,,,,,ｇ
,,610407429,,ボンゾール錠１００ｍｇ,,,,,錠
,,610407430,,ボンゾール錠２００ｍｇ,,,,,錠
,,610407447,,ムコダイン錠５００ｍｇ,,,,,錠
,,610408002,,ｌ－メントール「コザカイ・Ｍ」,,,,,ｇ
,,610408026,,ウチダのアセンヤク末Ｍ,,,,,ｇ
,,610408027,,ウチダのアマチャＭ,,,,,ｇ
,,610408028,,ウチダのアマチャ末Ｍ,,,,,ｇ
,,610408029,,ウチダのアロエ末Ｍ,,,,,ｇ
,,610408030,,ウチダのウイキョウＭ,,,,,ｇ
,,610408031,,ウチダのウワウルシＭ,,,,,ｇ
,,610408032,,ウチダのエイジツＭ,,,,,ｇ
,,610408033,,ウチダのエイジツ末Ｍ,,,,,ｇ
,,610408034,,ウチダのエンゴサクＭ,,,,,ｇ
,,610408035,,ウチダのオウレンＭ,,,,,ｇ
,,610408036,,ウチダのオウレン末Ｍ,,,,,ｇ
,,610408037,,ウチダのオウギＭ,,,,,ｇ
,,610408038,,ウチダのオウゴンＭ,,,,,ｇ
,,610408039,,ウチダのオウゴン末Ｍ,,,,,ｇ
,,610408040,,ウチダのオウバクＭ,,,,,ｇ
,,610408041,,ウチダのオウバク末Ｍ,,,,,ｇ
,,610408042,,ウチダのオンジＭ,,,,,ｇ
,,610408043,,ウチダのオンジ末Ｍ,,,,,ｇ
,,610408044,,ウチダのカッコンＭ,,,,,ｇ
,,610408045,,ウチダのカノコソウＭ,,,,,ｇ
,,610408046,,ウチダのカノコソウ末Ｍ,,,,,ｇ
,,610408047,,ウチダのカロコンＭ,,,,,ｇ
,,610408048,,ウチダのカンゾウＭ,,,,,ｇ
,,610408050,,ウチダのカンゾウ末Ｍ,,,,,ｇ
,,610408051,,ウチダのカゴソウＭ,,,,,ｇ
,,610408052,,ウチダのキョウニンＭ,,,,,ｇ
,,610408053,,ウチダのキキョウＭ,,,,,ｇ
,,610408054,,ウチダのキキョウ末Ｍ,,,,,ｇ
,,610408055,,ウチダのキササゲＭ,,,,,ｇ
,,610408056,,ウチダのキジツＭ,,,,,ｇ
,,610408057,,ウチダのクジンＭ,,,,,ｇ
,,610408058,,ウチダのクジン末Ｍ,,,,,ｇ
,,610408059,,ウチダのケイヒＭ,,,,,ｇ
,,610408060,,ウチダのケイヒ末Ｍ,,,,,ｇ
,,610408061,,ウチダのケイガイＭ,,,,,ｇ
,,610408062,,ウチダのケツメイシＭ,,,,,ｇ
,,610408063,,ウチダのケンゴシＭ,,,,,ｇ
,,610408064,,ウチダのコウカＭ,,,,,ｇ
,,610408065,,ウチダのコウジンＭ,,,,,ｇ
,,610408066,,ウチダのコウブシＭ,,,,,ｇ
,,610408067,,ウチダのコウブシ末Ｍ,,,,,ｇ
,,610408068,,ウチダのコウベイＭ,,,,,ｇ
,,610408069,,ウチダのコウボクＭ,,,,,ｇ
,,610408070,,ウチダのコウボク末Ｍ,,,,,ｇ
,,610408071,,ウチダのコロンボＭ,,,,,ｇ
,,610408072,,ウチダのコロンボ末Ｍ,,,,,ｇ
,,610408073,,ウチダのサイコＭ,,,,,ｇ
,,610408074,,ウチダのサイシンＭ,,,,,ｇ
,,610408075,,ウチダのサフランＭ,,,,,ｇ
,,610408076,,ウチダのサンキライＭ,,,,,ｇ
